SEASON,STAT,NAME,HEIGHT,WEIGHT,POST,AGE,TEAM,PPG,FG_P,FG3_P,FT_P,RPG,APG,SPG,BPG
2014,Youngest Player,Giannis Antetokounmpo,211,110,PF,19,MIL,"6,8","0,414","0,347","0,682","4,4","1,9","0,8","0,8"
2014,Oldest Player,Steve Nash,191,81,PG,40,LAL,"6,8","0,383","0,333","0,917","1,9","5,7","0,5","0,1"
2014,Best Scorer,Kevin Durant,208,109,SF,25,OKC,32,"0,503","0,391","0,873","7,4","5,5","1,3","0,7"
2014,Best Rebound,DeAndre Jordan,211,120,C,25,LAC,"10,4","0,675",0,"0,428","13,6","0,9",1,"2,5"
2014,Best Passer,Chris Paul,185,79,PG,29,LAC,"19,1","0,467","0,368","0,855","4,3","10,7","2,5","0,1"
2014,Best Stealer,Chris Paul,185,79,PG,29,LAC,"19,1","0,467","0,368","0,855","4,3","10,7","2,5","0,1"
2014,Best Blocker,Anthony Davis,208,115,PF,21,NOP,"20,8","0,519","0,222","0,79",10,"1,6","1,3","2,8"
