SEASON,STAT,NAME,HEIGHT,WEIGHT,POST,AGE,TEAM,PPG,FG_P,FG3_P,FT_P,RPG,APG,SPG,BPG
2011,Youngest Player,Derrick Favors,206,120,PF,19,NJN,"6,8","0,517",0,"0,595","5,3","0,5","0,4","0,9"
2011,Oldest Player,Shaquille O'Neal,216,147,C,39,BOS,"9,2","0,667",0,"0,557","4,8","0,7","0,4","1,1"
2011,Best Scorer,Kevin Durant,208,109,SF,22,OKC,"27,7","0,462","0,35","0,88","6,8","2,7","1,1",1
2011,Best Rebound,Kevin Love,203,114,PF,22,MIN,"20,2","0,47","0,417","0,85","15,2","2,5","0,6","0,4"
2011,Best Passer,Steve Nash,193,81,PG,37,PHX,"14,7","0,492","0,395","0,912","3,5","11,4","0,6","0,1"
2011,Best Stealer,Chris Paul,185,79,PG,26,NOH,"15,9","0,463","0,388","0,878","4,1","9,8","2,4","0,1"
2011,Best Blocker,Andrew Bogut,213,118,C,26,MIL,"12,8","0,495",0,"0,442","11,1",2,"0,7","2,6"
