SEASON,STAT,NAME,HEIGHT,WEIGHT,POST,AGE,TEAM,PPG,FG_P,FG3_P,FT_P,RPG,APG,SPG,BPG
2012,Youngest Player,Bismack Biyombo,203,116,C,19,CHA,"5,2","0,464",0,"0,483","5,8","0,4","0,3","1,8"
2012,Oldest Player,Kurt Thomas,206,104,PF,39,POR,3,"0,465",0,"0,7","3,5","0,9","0,5","0,6"
2012,Best Scorer,Kevin Durant,208,109,SF,23,OKC,28,"0,496","0,387","0,86",8,"3,5","1,3","1,2"
2012,Best Rebound,Dwight Howard,208,120,C,26,ORL,"20,6","0,573",0,"0,491","14,5","1,9","1,5","2,1"
2012,Best Passer,Rajon Rondo,185,82,PG,26,BOS,"11,9","0,448","0,238","0,597","4,8","11,7","1,8","0,1"
2012,Best Stealer,Chris Paul,185,79,PG,27,LAC,"19,8","0,478","0,371","0,861","3,6","9,1","2,5","0,1"
2012,Best Blocker,Serge Ibaka,213,107,PF,22,OKC,"9,1","0,535","0,333","0,66","7,5","0,4","0,5","3,7"
