LAST_NAME,PLAYER_NAME,POSITION,GEN_POST,MPG,PPG,FG_PCT,FG3_PCT,FT_PCT,RPG,APG,SPG,BPG,TPG,FPG
Mourning,Alonzo Mourning,C,Front,21.3,9.6,0.525,0.047,0.638,5.3,0.5,0.2,2.0,1.5,2.5
Ford,Alton Ford,PF,Front,5.2,1.8,0.465,0.0,0.523,1.2,0.1,0.0,0.0,0.3,1.1
Jones,Alvin Jones,C,Front,5.4,1.1,0.4,0.0,0.5,1.6,0.1,0.1,0.4,0.5,1.5
Williams,Alvin Williams,SF,Wing,24.0,7.5,0.281,0.208,0.674,2.5,3.5,1.0,0.1,1.2,1.4
McCaskill,Amal McCaskill,C,Front,7.6,1.5,0.348,0.0,0.638,1.8,0.3,0.2,0.2,0.3,1.2
Stoudemire,Amar'e Stoudemire,PF,Front,29.3,17.5,0.524,0.144,0.768,7.3,1.1,0.7,1.1,2.1,2.9
Jefferson,Amile Jefferson,PF,Front,4.9,1.5,0.491,0.0,0.616,1.5,0.2,0.2,0.2,0.1,0.5
Coffey,Amir Coffey,SG,Guard,7.5,2.2,0.394,0.143,0.333,1.1,0.7,0.1,0.1,0.2,0.9
Johnson,Amir Johnson,C,Front,19.7,6.7,0.575,0.244,0.701,4.9,1.1,0.5,0.9,1.0,2.8
Varejao,Anderson Varejao,C,Front,23.6,7.4,0.495,0.015,0.647,7.3,1.2,0.8,0.6,1.0,2.4
Blatche,Andray Blatche,C,Front,21.0,9.3,0.451,0.229,0.718,5.1,1.3,0.7,0.7,1.5,2.3
Barrett,Andre Barrett,PG,Guard,9.6,2.6,0.407,0.186,0.496,0.8,1.8,0.2,0.0,0.6,0.7
Brown,Andre Brown,PF,Front,8.7,2.1,0.403,0.0,0.682,2.5,0.2,0.2,0.0,0.8,1.3
Dawkins,Andre Dawkins,SG,Guard,5.5,0.8,0.166,0.166,0.0,0.5,0.3,0.0,0.0,0.3,0.8
Drummond,Andre Drummond,C,Front,30.7,14.3,0.548,0.174,0.461,13.7,1.3,1.4,1.5,2.0,3.1
Emmett,Andre Emmett,SG,Guard,5.4,1.5,0.452,0.0,0.612,0.6,0.1,0.1,0.1,0.2,0.4
Iguodala,Andre Iguodala,SF,Wing,32.2,11.4,0.472,0.337,0.650,4.9,4.2,1.4,0.5,1.8,1.8
Ingram,Andre Ingram,SG,Guard,17.9,6.0,0.235,0.278,0.5,1.7,1.7,0.9,0.7,0.9,0.7
Miller,Andre Miller,PG,Guard,30.2,12.1,0.467,0.221,0.802,3.5,6.3,1.1,0.1,2.3,2.1
Owens,Andre Owens,PG,Guard,10.8,3.5,0.369,0.319,0.701,1.2,0.9,0.3,0.0,0.7,1.1
Roberson,Andre Roberson,SF,Wing,21.6,4.3,0.488,0.235,0.505,3.9,0.8,0.9,0.6,0.6,2.1
Bargnani,Andrea Bargnani,PF,Front,28.3,14.2,0.436,0.328,0.826,4.5,1.2,0.3,0.8,1.5,2.2
Glyniadakis,Andreas Glyniadakis,C,Front,6.2,1.3,0.471,0.0,0.5,0.6,0.1,0.0,0.0,0.7,1.5
Kirilenko,Andrei Kirilenko,PF,Front,28.0,10.9,0.442,0.272,0.742,5.1,2.5,1.2,1.6,1.7,1.8
Nocioni,Andres Nocioni,PF,Front,21.2,9.5,0.407,0.337,0.765,4.1,1.0,0.3,0.3,1.3,2.4
Bogut,Andrew Bogut,C,Front,26.0,8.6,0.539,0.157,0.583,8.1,2.0,0.6,1.4,1.6,2.9
Bynum,Andrew Bynum,C,Front,25.0,11.3,0.534,0.025,0.651,7.6,1.1,0.3,1.5,1.5,2.3
DeClercq,Andrew DeClercq,C,Front,12.8,3.1,0.491,0.0,0.585,3.2,0.4,0.5,0.3,0.6,2.6
Goudelock,Andrew Goudelock,SG,Guard,7.6,2.4,0.280,0.161,0.555,0.7,0.3,0.3,0.0,0.4,0.4
Harrison,Andrew Harrison,PG,Guard,18.3,6.2,0.349,0.268,0.829,1.7,2.4,0.5,0.3,1.0,2.4
Nicholson,Andrew Nicholson,PF,Front,13.6,5.5,0.450,0.235,0.730,2.8,0.4,0.2,0.3,0.7,1.5
White III,Andrew White III,SF,Wing,13.9,4.6,0.342,0.367,0.25,2.3,0.4,0.2,0.1,0.5,0.8
Wiggins,Andrew Wiggins,SF,Wing,35.6,19.8,0.440,0.328,0.721,4.4,2.4,0.9,0.6,2.1,2.1
Biedrins,Andris Biedrins,C,Front,19.3,5.2,0.622,0.0,0.354,6.2,0.8,0.5,0.9,0.8,2.9
Panko,Andy Panko,SF,Wing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rautins,Andy Rautins,SG,Guard,4.8,1.6,0.429,0.25,0.5,0.2,0.6,0.2,0.0,1.4,0.0
Hardaway,Anfernee Hardaway,PG,Guard,25.5,7.8,0.395,0.283,0.810,3.4,2.9,1.0,0.2,1.5,1.9
Simons,Anfernee Simons,SG,Guard,14.3,6.3,0.423,0.341,0.694,1.5,1.1,0.2,0.1,0.7,1.2
Delgado,Angel Delgado,C,Front,7.5,1.5,0.2,0.0,0.5,2.0,0.0,0.5,0.0,0.0,1.0
Sesay,Ansu Sesay,SF,Wing,11.0,3.7,0.435,0.134,0.627,1.9,0.6,0.2,0.2,0.4,1.4
Jamison,Antawn Jamison,SF,Wing,33.9,18.0,0.442,0.336,0.728,7.2,1.5,0.9,0.3,1.4,2.3
Zizic,Ante Zizic,C,Front,11.6,5.3,0.617,0.0,0.722,3.4,0.4,0.2,0.3,0.6,1.3
Bennett,Anthony Bennett,PF,Front,11.1,3.9,0.371,0.258,0.725,2.8,0.4,0.3,0.1,0.5,1.1
Brown,Anthony Brown,SF,Wing,13.0,3.6,0.556,0.515,0.283,1.8,0.7,0.3,0.1,0.3,0.8
Carter,Anthony Carter,PG,Guard,17.8,4.1,0.385,0.17,0.613,1.9,3.4,0.7,0.2,1.5,1.6
Davis,Anthony Davis,PF,Front,34.4,23.9,0.516,0.241,0.796,10.3,2.2,1.4,2.3,1.9,2.4
Goldwire,Anthony Goldwire,PG,Guard,9.4,2.6,0.323,0.249,0.635,0.7,1.2,0.3,0.0,0.4,0.5
Grundy,Anthony Grundy,SG,Guard,9.0,4.3,0.5,0.333,0.643,1.4,0.8,0.6,0.0,0.8,1.2
Johnson,Anthony Johnson,SG,Guard,18.2,5.3,0.419,0.346,0.759,1.6,2.7,0.6,0.1,0.9,1.5
Mason,Anthony Mason,PF,Front,37.1,10.9,0.490,0.333,0.731,7.9,3.5,0.7,0.2,1.6,2.4
Miller,Anthony Miller,PF,Front,3.6,1.2,0.583,0.0,0.0,0.5,0.2,0.2,0.0,0.4,0.6
Morrow,Anthony Morrow,SG,Guard,21.2,9.1,0.440,0.407,0.874,2.0,0.8,0.5,0.1,0.6,1.5
Parker,Anthony Parker,SG,Guard,30.1,9.7,0.440,0.404,0.779,3.4,2.5,0.9,0.1,1.0,1.7
Peeler,Anthony Peeler,SG,Guard,22.5,7.3,0.415,0.412,0.845,2.3,2.1,0.8,0.1,1.0,1.6
Randolph,Anthony Randolph,C,Front,15.2,7.1,0.453,0.124,0.732,4.1,0.7,0.6,0.8,1.1,1.7
Roberson,Anthony Roberson,PG,Guard,8.7,3.9,0.414,0.401,0.888,0.7,0.5,0.3,0.0,0.3,0.7
Tolliver,Anthony Tolliver,SF,Wing,19.2,5.9,0.399,0.350,0.743,3.3,0.9,0.3,0.2,0.6,1.5
Rigaudeau,Antoine Rigaudeau,SG,Guard,8.1,1.5,0.229,0.2,0.0,0.7,0.5,0.3,0.0,0.5,1.0
Walker,Antoine Walker,PF,Front,33.4,15.9,0.404,0.322,0.595,6.9,3.4,1.0,0.4,2.5,2.5
Wright,Antoine Wright,SF,Wing,16.4,4.4,0.359,0.219,0.537,1.9,0.8,0.3,0.2,0.6,1.7
Anderson,Antonio Anderson,SG,Guard,15.0,2.0,0.333,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Blakeney,Antonio Blakeney,SG,Guard,15.5,7.6,0.395,0.342,0.713,1.7,0.9,0.3,0.1,0.6,0.8
Burks,Antonio Burks,PG,Guard,9.6,2.5,0.410,0.22,0.586,0.5,1.2,0.4,0.0,0.5,0.9
Daniels,Antonio Daniels,PG,Guard,21.7,7.2,0.440,0.278,0.829,1.8,3.1,0.5,0.0,0.9,0.9
Davis,Antonio Davis,C,Front,31.4,10.4,0.427,0.0,0.751,7.8,1.5,0.4,0.9,1.6,2.6
Harvey,Antonio Harvey,PF,Front,7.9,1.8,0.399,0.0,0.444,1.5,0.4,0.2,0.7,0.5,1.4
McDyess,Antonio McDyess,PF,Front,24.7,9.3,0.505,0.0,0.659,7.0,1.2,0.7,0.7,1.2,2.6
Fotsis,Antonis Fotsis,PF,Front,11.3,3.9,0.404,0.304,0.85,2.2,0.4,0.3,0.4,0.8,0.8
Cleveland,Antonius Cleveland,SG,Guard,5.4,1.1,0.357,0.375,0.583,0.6,0.0,0.3,0.2,0.3,0.8
Pasecniks,Anzejs Pasecniks,C,Front,16.9,6.0,0.528,0.0,0.593,4.1,0.7,0.3,0.5,0.9,2.7
Goodwin,Archie Goodwin,SG,Guard,14.2,6.3,0.452,0.249,0.717,1.9,1.3,0.4,0.2,1.1,1.0
Onuaku,Arinze Onuaku,C,Front,6.9,1.8,0.519,0.0,0.291,1.9,0.5,0.0,0.1,0.2,0.6
Johnson,Armon Johnson,SG,Guard,10.5,4.0,0.46,0.375,0.795,1.1,1.2,0.3,0.0,0.8,0.9
Moultrie,Arnett Moultrie,PF,Front,13.5,3.3,0.501,0.0,0.721,3.0,0.2,0.5,0.2,0.5,1.3
Baynes,Aron Baynes,C,Front,15.1,5.8,0.492,0.136,0.789,4.2,0.7,0.1,0.4,0.8,2.2
Afflalo,Arron Afflalo,SG,Guard,27.2,10.7,0.444,0.375,0.824,2.8,1.8,0.4,0.1,1.1,1.9
Long,Art Long,PF,Front,8.6,2.2,0.288,0.222,0.243,2.4,0.3,0.1,0.3,0.6,1.5
Macijauskas,Arvydas Macijauskas,SG,Guard,7.1,2.3,0.341,0.25,0.867,0.5,0.3,0.4,0.0,0.4,0.5
Sabonis,Arvydas Sabonis,C,Front,18.4,8.1,0.477,0.283,0.781,4.8,1.6,0.7,0.8,1.2,2.0
Croshere,Austin Croshere,PF,Front,16.0,6.0,0.400,0.342,0.838,3.6,0.9,0.3,0.2,0.8,1.4
Daye,Austin Daye,SF,Wing,12.8,4.7,0.389,0.332,0.765,2.3,0.6,0.3,0.3,0.6,1.4
Rivers,Austin Rivers,PG,Guard,24.5,9.1,0.414,0.343,0.632,2.0,2.3,0.6,0.1,1.1,2.1
Bradley,Avery Bradley,PG,Guard,27.0,11.1,0.428,0.330,0.761,2.8,1.7,0.9,0.2,1.3,2.1
Johnson,Avery Johnson,PG,Guard,16.5,5.3,0.436,0.041,0.715,0.9,3.0,0.5,0.0,0.9,1.0
Storey,Awvee Storey,SG,Guard,6.0,2.0,0.375,0.309,0.518,1.2,0.3,0.1,0.0,0.2,0.9
Toupane,Axel Toupane,SF,Wing,13.1,3.2,0.456,0.287,0.382,0.9,0.3,0.3,0.3,0.1,1.7
Johnson,BJ Johnson,SF,Wing,6.4,2.4,0.389,0.298,1.0,0.9,0.1,0.3,0.0,0.3,0.3
Adebayo,Bam Adebayo,C,Front,25.8,10.6,0.551,0.092,0.715,7.7,2.9,0.8,0.9,1.7,2.3
Davis,Baron Davis,PG,Guard,34.9,16.6,0.404,0.320,0.715,3.8,7.4,1.8,0.4,2.8,2.8
Bentil,Ben Bentil,PF,Front,3.3,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.3,0.3
Gordon,Ben Gordon,SG,Guard,26.1,13.8,0.423,0.386,0.849,2.3,2.3,0.6,0.1,1.9,2.1
Handlogten,Ben Handlogten,C,Front,12.1,4.2,0.525,0.0,0.598,3.1,0.5,0.2,0.2,0.7,2.2
Hansbrough,Ben Hansbrough,PG,Guard,7.1,2.0,0.333,0.261,0.778,0.6,0.8,0.3,0.1,0.6,0.8
McLemore,Ben McLemore,SG,Guard,21.4,8.2,0.418,0.368,0.763,2.2,0.9,0.6,0.1,1.0,2.1
Moore,Ben Moore,PF,Front,4.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,2.0
Simmons,Ben Simmons,PG,Guard,34.5,16.4,0.564,0.111,0.595,8.2,8.0,1.7,0.7,3.5,2.8
Uzoh,Ben Uzoh,PG,Guard,15.5,4.1,0.389,0.187,0.584,2.6,2.5,0.6,0.2,0.8,1.2
Wallace,Ben Wallace,C,Front,31.3,5.9,0.463,0.133,0.406,10.2,1.5,1.3,2.0,1.0,1.8
Udrih,Beno Udrih,PG,Guard,20.9,7.9,0.453,0.345,0.833,1.9,3.3,0.6,0.0,1.3,1.4
James,Bernard James,C,Front,8.2,2.1,0.479,0.0,0.674,2.1,0.1,0.1,0.6,0.3,1.1
Robinson,Bernard Robinson,SG,Guard,13.1,3.8,0.393,0.156,0.778,2.1,0.9,0.7,0.1,0.7,1.5
Curley,Bill Curley,SF,Wing,9.6,3.2,0.532,0.5,0.632,1.9,0.2,0.4,0.5,0.8,2.3
Garrett,Billy Garrett,SG,Guard,15.8,6.5,0.407,0.0,1.0,0.8,1.8,0.3,0.3,0.5,0.8
Owens,Billy Owens,SF,Wing,17.7,4.4,0.383,0.15,0.475,4.6,1.2,0.7,0.3,0.9,2.1
Thomas,Billy Thomas,SG,Guard,8.5,2.4,0.307,0.295,0.926,0.8,0.3,0.4,0.0,0.4,0.8
Coles,Bimbo Coles,PG,Guard,14.8,3.4,0.362,0.136,0.812,1.1,1.9,0.3,0.0,0.7,1.5
Biyombo,Bismack Biyombo,C,Front,19.9,5.1,0.530,0.0,0.572,6.1,0.5,0.2,1.3,0.8,2.1
Ahearn,Blake Ahearn,PG,Guard,9.5,3.6,0.294,0.338,0.656,0.8,0.8,0.2,0.0,0.9,1.2
Griffin,Blake Griffin,PF,Front,34.2,21.1,0.486,0.288,0.706,8.4,4.4,0.8,0.4,2.5,2.7
Outlaw,Bo Outlaw,PF,Front,16.0,3.5,0.564,0.125,0.489,3.4,0.9,0.5,0.6,0.8,1.7
Sura,Bob Sura,SG,Guard,25.4,9.2,0.413,0.307,0.727,4.0,3.8,0.9,0.1,1.9,2.2
Marjanovic,Boban Marjanovic,C,Front,9.4,6.1,0.570,0.133,0.776,3.9,0.5,0.2,0.3,0.6,1.1
Brown,Bobby Brown,SF,Wing,8.9,3.7,0.368,0.321,0.789,0.5,1.2,0.2,0.0,0.6,0.7
Jackson,Bobby Jackson,PG,Guard,22.7,10.7,0.421,0.356,0.795,3.1,2.3,0.8,0.0,1.2,1.8
Jones,Bobby Jones,PF,Front,9.4,3.1,0.445,0.225,0.672,1.6,0.5,0.3,0.0,0.5,1.5
Portis,Bobby Portis,PF,Front,20.6,10.2,0.456,0.350,0.742,6.0,1.1,0.5,0.3,1.1,1.9
Simmons,Bobby Simmons,SF,Wing,20.3,6.8,0.369,0.275,0.712,3.0,1.2,0.6,0.1,0.8,2.1
Bogdanovic,Bogdan Bogdanovic,SG,Guard,28.0,13.4,0.432,0.371,0.797,3.2,3.4,0.9,0.2,1.6,2.1
Bogdanovic,Bojan Bogdanovic,SF,Wing,28.6,14.4,0.458,0.390,0.854,3.4,1.5,0.5,0.0,1.5,1.5
Ndong,Boniface Ndong,C,Front,6.6,2.2,0.415,0.0,0.667,1.6,0.3,0.1,0.2,0.3,1.0
Wells,Bonzi Wells,SG,Guard,26.6,12.2,0.453,0.285,0.689,4.9,2.1,1.3,0.3,2.1,2.6
Colson,Bonzie Colson,SF,Wing,12.3,4.9,0.333,0.238,0.889,3.8,0.4,0.6,0.1,0.4,0.4
Diaw,Boris Diaw,PF,Front,26.7,8.4,0.487,0.316,0.713,4.3,3.4,0.5,0.4,1.7,2.1
Nachbar,Bostjan Nachbar,PF,Front,15.3,5.9,0.384,0.333,0.721,2.2,0.7,0.3,0.2,0.7,1.9
Wright,Bracey Wright,SG,Guard,14.6,6.2,0.406,0.326,0.798,1.8,0.7,0.3,0.0,0.7,0.7
Miller,Brad Miller,C,Front,28.3,11.0,0.463,0.325,0.807,7.0,2.9,0.7,0.6,1.5,2.7
Wanamaker,Brad Wanamaker,PG,Guard,14.4,5.2,0.451,0.388,0.894,1.5,2.0,0.5,0.1,0.8,1.4
Beal,Bradley Beal,SG,Guard,34.3,20.6,0.447,0.383,0.798,3.9,3.9,1.1,0.3,2.2,2.2
Wright,Brandan Wright,PF,Front,15.7,6.6,0.599,0.0,0.659,3.5,0.4,0.4,0.9,0.4,1.3
Dawson,Branden Dawson,PF,Front,4.8,0.8,0.4,0.0,1.0,0.7,0.0,0.0,0.2,0.0,0.3
Knight,Brandin Knight,PG,Guard,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Armstrong,Brandon Armstrong,SG,Guard,5.8,1.9,0.340,0.275,0.611,0.5,0.2,0.2,0.0,0.3,0.7
Bass,Brandon Bass,PF,Front,19.7,7.8,0.486,0.078,0.812,4.1,0.7,0.3,0.5,0.8,1.6
Clarke,Brandon Clarke,PF,Front,21.7,12.0,0.623,0.404,0.785,5.8,1.4,0.5,0.8,0.9,1.6
Davies,Brandon Davies,PF,Front,13.5,4.0,0.411,0.217,0.645,2.6,0.8,0.6,0.2,0.9,2.0
Goodwin,Brandon Goodwin,PG,Guard,8.1,3.7,0.330,0.316,0.875,1.1,1.2,0.2,0.0,0.5,0.8
Hunter,Brandon Hunter,PF,Front,9.2,3.3,0.482,0.0,0.49,2.7,0.3,0.2,0.1,0.6,1.2
Ingram,Brandon Ingram,SF,Wing,32.6,17.0,0.458,0.350,0.708,5.1,3.3,0.7,0.6,2.4,2.6
Jennings,Brandon Jennings,PG,Guard,28.4,13.1,0.383,0.335,0.813,2.8,5.3,1.1,0.1,2.0,1.6
Knight,Brandon Knight,PG,Guard,27.9,13.2,0.401,0.348,0.782,2.8,3.7,0.8,0.1,2.2,1.9
Paul,Brandon Paul,SG,Guard,9.0,2.3,0.433,0.278,0.512,1.1,0.6,0.4,0.1,0.5,0.9
Roy,Brandon Roy,SG,Guard,33.3,16.3,0.429,0.292,0.790,3.9,4.4,0.9,0.1,1.7,1.7
Rush,Brandon Rush,SF,Wing,19.4,6.0,0.419,0.322,0.662,2.4,0.9,0.3,0.4,0.8,1.3
Sampson,Brandon Sampson,SG,Guard,15.3,5.1,0.467,0.379,0.667,1.1,0.7,0.6,0.2,0.9,1.4
Williams,Brandon Williams,SG,Guard,3.3,0.3,0.143,0.0,0.0,0.3,0.0,0.3,0.0,0.5,0.7
Haywood,Brendan Haywood,C,Front,22.2,6.5,0.516,0.0,0.555,5.7,0.5,0.3,1.3,1.0,2.3
Barry,Brent Barry,SF,Wing,24.5,8.5,0.466,0.417,0.840,2.8,3.1,0.9,0.2,1.2,1.6
Price,Brent Price,PG,Guard,4.7,1.9,0.303,0.258,0.774,0.5,0.6,0.2,0.0,0.6,1.0
Knight,Brevin Knight,PG,Guard,23.5,6.7,0.404,0.143,0.772,2.2,5.6,1.5,0.0,1.7,2.3
Bowen II,Brian Bowen II,SG,Guard,5.8,0.8,0.222,0.0,0.0,1.4,0.0,0.0,0.2,0.2,0.4
Cardinal,Brian Cardinal,PF,Front,11.4,3.6,0.382,0.311,0.854,1.8,0.8,0.5,0.1,0.5,1.6
Cook,Brian Cook,C,Front,11.4,4.6,0.404,0.320,0.782,2.3,0.5,0.2,0.2,0.5,1.6
Grant,Brian Grant,PF,Front,25.9,8.3,0.472,0.0,0.799,6.7,1.0,0.5,0.4,1.2,3.0
Roberts,Brian Roberts,PG,Guard,15.6,6.1,0.410,0.362,0.896,1.2,2.1,0.4,0.0,0.8,1.0
Scalabrine,Brian Scalabrine,C,Front,11.9,2.8,0.398,0.288,0.679,1.7,0.7,0.2,0.2,0.6,1.4
Shaw,Brian Shaw,PG,Guard,15.4,3.9,0.379,0.33,0.718,2.4,2.0,0.4,0.2,0.8,1.2
Skinner,Brian Skinner,PF,Front,14.8,3.7,0.401,0.055,0.471,3.7,0.4,0.3,0.6,0.6,1.7
Weber,Briante Weber,PG,Guard,15.8,3.4,0.405,0.154,0.746,2.2,1.7,0.9,0.2,0.8,1.3
Johnson,Brice Johnson,PF,Front,4.2,1.8,0.381,0.0,0.3,1.3,0.2,0.6,0.3,0.3,0.3
Johnsen,Britton Johnsen,SF,Wing,14.5,2.0,0.280,0.041,0.219,2.0,0.6,0.3,0.0,0.6,1.5
Lopez,Brook Lopez,C,Front,30.2,17.1,0.495,0.132,0.780,6.1,1.4,0.5,1.7,1.7,2.6
Bowen,Bruce Bowen,SF,Wing,29.9,6.5,0.413,0.397,0.565,2.9,1.3,0.8,0.3,0.7,2.2
Brown,Bruce Brown,SG,Guard,23.9,6.6,0.420,0.301,0.744,3.6,2.6,0.8,0.5,1.1,2.5
Caboclo,Bruno Caboclo,SF,Wing,9.1,2.7,0.320,0.305,0.412,1.6,0.4,0.2,0.3,0.5,0.8
Fernando,Bruno Fernando,C,Front,12.7,4.3,0.518,0.135,0.569,3.5,0.9,0.3,0.3,0.8,1.9
Sundov,Bruno Sundov,C,Front,6.0,2.0,0.366,0.116,0.420,1.3,0.1,0.1,0.1,0.3,1.2
Reeves,Bryant Reeves,C,Front,24.4,8.3,0.46,0.25,0.795,6.0,1.1,0.6,0.7,1.2,3.2
Stith,Bryant Stith,SG,Guard,22.7,6.9,0.386,0.364,0.845,2.6,1.5,0.8,0.1,0.8,1.5
Cotton,Bryce Cotton,PG,Guard,7.7,3.1,0.410,0.175,0.416,0.6,0.7,0.3,0.0,0.7,0.3
Dejean-Jones,Bryce Dejean-Jones,SG,Guard,19.9,5.6,0.406,0.375,0.524,3.4,1.1,0.7,0.1,0.8,1.2
Drew,Bryce Drew,PG,Guard,12.8,3.0,0.331,0.344,0.632,0.9,1.8,0.4,0.0,0.6,0.8
Forbes,Bryn Forbes,SG,Guard,20.0,8.1,0.414,0.381,0.804,1.7,1.3,0.3,0.0,0.6,1.4
Russell,Bryon Russell,SG,Guard,18.7,5.7,0.325,0.307,0.654,2.8,1.3,0.7,0.1,0.8,1.8
Hield,Buddy Hield,SG,Guard,28.0,16.1,0.439,0.411,0.865,4.2,2.2,0.7,0.2,1.7,2.0
Mullens,Byron Mullens,C,Front,13.8,5.4,0.388,0.184,0.493,3.2,0.5,0.3,0.3,0.8,1.4
Watson,C.J. Watson,PF,Front,19.9,7.0,0.410,0.361,0.810,1.9,2.4,0.9,0.1,1.1,1.4
Wilcox,C.J. Wilcox,SG,Guard,5.6,2.0,0.357,0.319,0.916,0.4,0.4,0.1,0.0,0.3,0.4
Williams,C.J. Williams,SG,Guard,13.5,4.0,0.463,0.297,0.406,1.0,0.9,0.6,0.1,0.4,1.4
McCollum,CJ McCollum,SG,Guard,29.1,17.2,0.447,0.394,0.789,3.1,2.9,0.8,0.3,1.6,2.1
Miles,CJ Miles,SG,Guard,19.1,8.7,0.401,0.339,0.794,2.2,1.0,0.6,0.2,0.8,1.9
Bowdler,Cal Bowdler,PF,Front,9.9,3.1,0.408,0.2,0.827,1.9,0.1,0.2,0.4,0.2,1.1
Cheaney,Calbert Cheaney,SF,Wing,20.7,5.4,0.434,0.066,0.670,2.7,1.3,0.5,0.1,0.8,1.9
Martin,Caleb Martin,SF,Wing,17.6,6.2,0.44,0.541,0.81,2.1,1.3,0.7,0.4,0.8,1.8
Swanigan,Caleb Swanigan,PF,Front,8.7,2.2,0.445,0.089,0.621,2.9,0.7,0.1,0.1,1.0,1.6
Booth,Calvin Booth,C,Front,11.4,3.0,0.443,0.111,0.719,2.4,0.4,0.2,0.8,0.4,1.8
Reddish,Cam Reddish,SF,Wing,26.7,10.5,0.384,0.332,0.802,3.7,1.5,1.1,0.5,1.7,2.3
Bairstow,Cameron Bairstow,PF,Front,4.6,1.2,0.269,0.1,0.837,1.0,0.2,0.1,0.1,0.2,0.7
Johnson,Cameron Johnson,SF,Wing,20.3,8.1,0.418,0.397,0.760,2.9,1.1,0.6,0.3,0.6,1.5
Payne,Cameron Payne,PG,Guard,17.0,6.3,0.394,0.330,0.743,1.9,2.7,0.7,0.2,1.0,1.6
Reynolds,Cameron Reynolds,SG,Guard,13.6,5.0,0.423,0.412,0.889,1.6,0.7,0.3,0.1,0.3,1.4
LeVert,Caris LeVert,SG,Guard,25.9,12.9,0.432,0.340,0.710,3.7,3.5,1.0,0.2,1.8,1.8
Landry,Carl Landry,PF,Front,20.9,10.0,0.539,0.162,0.779,4.7,0.6,0.3,0.3,1.0,2.2
Johnson,Carldell Johnson,PG,Guard,7.9,1.8,0.314,0.267,0.333,0.6,1.5,0.5,0.0,0.5,0.7
Arroyo,Carlos Arroyo,PG,Guard,16.6,6.2,0.440,0.302,0.804,1.6,2.9,0.4,0.0,1.1,1.4
Boozer,Carlos Boozer,PF,Front,31.3,16.2,0.520,0.012,0.718,9.4,2.2,0.8,0.3,2.1,3.0
Delfino,Carlos Delfino,SG,Guard,22.8,7.9,0.397,0.347,0.751,3.4,1.7,0.9,0.1,1.0,1.6
Rogers,Carlos Rogers,PF,Front,10.8,3.6,0.62,0.083,0.542,2.6,0.1,0.2,0.4,0.3,0.8
Anthony,Carmelo Anthony,SF,Wing,35.2,23.0,0.443,0.337,0.804,6.4,2.8,0.9,0.5,2.5,2.8
Butler,Caron Butler,SF,Wing,30.9,13.6,0.429,0.323,0.840,4.7,2.2,1.2,0.2,1.7,2.3
Felix,Carrick Felix,SG,Guard,5.4,2.7,0.5,0.4,0.75,0.9,0.6,0.0,0.0,0.6,0.6
Edwards,Carsen Edwards,SG,Guard,9.0,3.0,0.327,0.309,0.846,1.2,0.6,0.3,0.1,0.4,0.9
Martin,Cartier Martin,SF,Wing,14.7,5.3,0.378,0.343,0.618,2.1,0.5,0.4,0.0,0.5,1.4
Jacobsen,Casey Jacobsen,SG,Guard,17.7,4.9,0.383,0.331,0.764,1.7,0.9,0.4,0.0,0.7,1.2
Ware,Casper Ware,PG,Guard,12.9,5.3,0.429,0.333,0.833,1.0,1.1,0.9,0.0,0.6,1.2
Osman,Cedi Osman,SF,Wing,24.2,9.2,0.449,0.366,0.671,3.4,1.8,0.6,0.1,1.1,2.1
Bozeman,Cedric Bozeman,SG,Guard,8.7,1.1,0.282,0.154,0.333,1.0,0.4,0.2,0.1,0.4,1.4
Ceballos,Cedric Ceballos,SF,Wing,13.9,6.5,0.441,0.301,0.86,2.7,0.5,0.4,0.2,0.8,1.5
