SEASON,TEAM,PPG,FG_PCT,FG3_PCT,FT_PCT,ORPG,DRPG,RPG,APG,SPG,BPG,TPG,FPG,WIN_PCT
2002,IND,96.8,0.446,0.338,0.771,11.3,31.3,42.6,22.9,8.0,5.3,14.5,22.8,51.2
2002,LAC,95.6,0.445,0.355,0.739,13.2,30.1,43.3,20.9,6.2,6.5,14.0,19.8,47.6
2002,LAL,101.,0.460,0.354,0.698,12.4,31.7,44.2,22.9,7.6,5.8,12.1,22.2,70.7
2002,MEM,89.9,0.436,0.306,0.708,12,29.4,41.4,21.7,7.8,5.9,15.7,19.1,28
2002,MIA,87.1,0.438,0.347,0.723,11,31.0,42.0,20.2,6.6,5.4,14.0,22.5,43.9
2002,MIL,97.5,0.462,0.374,0.747,10.2,31.1,41.4,22.5,7.2,4.7,13.5,21.8,50
2002,MIN,99.3,0.461,0.378,0.797,12.9,31.2,44.1,24.3,6.3,5.2,13.0,21.2,61
2002,NOP,93.9,0.439,0.348,0.744,12.9,30.5,43.4,21.4,7.9,5.5,13.5,21.3,53.7
2002,NYK,91.6,0.432,0.352,0.787,10.6,29.9,40.6,20.9,6.8,3.5,14.0,21.9,36.6
2002,OKC,97.7,0.468,0.378,0.755,11.8,28.4,40.2,23.4,8.5,4.4,13.2,21.1,54.9
2002,ORL,100.,0.447,0.373,0.754,11.4,29.7,41.2,22,8.1,4.6,13.2,20.7,53.7
2002,PHI,90.9,0.435,0.299,0.778,13.3,30.9,44.2,19.9,8.5,4.4,14.3,20.0,52.4
2002,PHX,95.1,0.446,0.326,0.766,13.0,29.6,42.7,22.4,8.1,4.8,14.2,21.7,43.9
2002,POR,96.6,0.450,0.353,0.763,13.2,29.8,43.0,23.4,8.5,4.4,13.6,19.6,59.8
2002,SAC,104.,0.466,0.367,0.751,12.3,32.9,45.3,23.8,9.0,4.5,13.3,19.0,74.4
