SEASON,STAT,NAME,HEIGHT,WEIGHT,POST,AGE,TEAM,PPG,FG_P,FG3_P,FT_P,RPG,APG,SPG,BPG
2013,Youngest Player,Michael Kidd-Gilchrist,198,105,SF,19,CHA,9,"0,458","0,222","0,749","5,8","1,5","0,7","0,9"
2013,Oldest Player,Kurt Thomas,206,104,PF,40,NYK,"2,5","0,542",1,"0,462","2,3","0,5","0,3","0,4"
2013,Best Scorer,Carmelo Anthony,203,108,SF,29,NYK,"28,7","0,449","0,379","0,83","6,9","2,6","0,8","0,5"
2013,Best Rebound,Dwight Howard,208,120,C,27,LAL,"17,1","0,578","0,166","0,492","12,4","1,4","1,1","2,4"
2013,Best Passer,Rajon Rondo,185,82,PG,27,BOS,"13,7","0,484","0,24","0,645","5,6","11,1","1,8","0,2"
2013,Best Stealer,Chris Paul,185,79,PG,28,LAC,"16,9","0,481","0,328","0,885","3,7","9,7","2,4","0,1"
2013,Best Blocker,Serge Ibaka,213,107,PF,23,OKC,"13,2","0,573","0,351","0,749","7,7","0,5","0,4",3
