SEASON,STAT,NAME,HEIGHT,WEIGHT,POST,AGE,TEAM,PPG,FG_P,FG3_P,FT_P,RPG,APG,SPG,BPG
2018,Youngest Player,Ike Anigbogu,208,113,C,19,IND,"1,2","0,444",0,"0,833","0,8",0,"0,1","0,3"
2018,Oldest Player,Vince Carter,198,100,SG,41,SAC,"5,4","0,403","0,345","0,757","2,6","1,2","0,7","0,4"
2018,Best Scorer,Russell Westbrook,191,91,PG,29,OKC,"25,4","0,449","0,298","0,737","10,1","10,3","1,8","0,3"
2018,Best Rebound,Andre Drummond,208,127,C,24,DET,15,"0,529",0,"0,605",16,3,"1,5","1,6"
2018,Best Passer,James Harden,196,100,SG,28,HOU,"30,4","0,449","0,367","0,858","5,4","8,8","1,8","0,7"
2018,Best Stealer,Victor Oladipo,193,97,SG,26,IND,"23,1","0,477","0,371","0,799","5,2","4,3","2,4","0,8"
2018,Best Blocker,Anthony Davis,208,115,PF,25,NOP,"28,1","0,534","0,34","0,828","11,1","2,3","1,5","2,6"
