FIRST_NAME,LAST_NAME,PLAYER_NAME,HEIGHT,WEIGHT,POSITION,AGE,TEAM,GP,GS,NOTE_2019,NOTE_2020,2020,2021,2022,2023
Richaun,Holmes,Richaun Holmes,208,107,PF,26,SAC,39,33,1.90,4.56,4767000,5005350,0,0
Rodney,Hood,Rodney Hood,203,94,SG,27,POR,21,21,3.74,3.87,5718000,6003900,0,0
Al,Horford,Al Horford,206,109,C,33,PHI,60,57,8.61,7.83,28000000,27500000,27000000,26500000
Talen,Horton-Tucker,Talen Horton-Tucker,193,106,SG,19,LAL,2,0,,0.05,898310,1517981,,0
Danuel,House Jr.,Danuel House Jr.,198,100,SG,26,HOU,58,47,3.58,5.72,3540000,3717000,3894000,0
Dwight,Howard,Dwight Howard,208,120,C,34,LAL,62,2,2.32,2.22,5603850,0,0,0
William,Howard,William Howard,203,94,SG,26,HOU,2,0,,0.0,209136,0,0,0
Kevin,Huerter,Kevin Huerter,201,86,SG,21,ATL,56,48,3.96,5.90,2636280,2761920,4253357,6065287
De'Andre,Hunter,De'Andre Hunter,201,102,SF,22,ATL,63,62,,5.10,7068360,7422000,7775400,9835881
Chandler,Hutchison,Chandler Hutchison,201,95,SF,24,CHI,28,10,2.50,2.75,2332320,2443440,4019459,5820176
Serge,Ibaka,Serge Ibaka,213,107,PF,30,TOR,50,27,4.53,4.77,23271604,0,0,0
Andre,Iguodala,Andre Iguodala,198,98,SF,36,MIA,14,0,4.25,2.87,17185185,15000000,15000000,0
Ersan,Ilyasova,Ersan Ilyasova,206,107,PF,33,MIL,56,8,2.37,2.41,7000000,7000000,0,0
Joe,Ingles,Joe Ingles,201,100,SF,32,UTA,64,37,5.61,5.65,11454546,10363637,12436364,0
Brandon,Ingram,Brandon Ingram,201,86,SF,22,NOP,56,56,5.41,8.51,7265485,9481458,0,0
Kyrie,Irving,Kyrie Irving,188,88,PG,28,BKN,20,20,9.67,8.90,31742000,33329100,34916200,36503300
Jonathan,Isaac,Jonathan Isaac,211,104,PF,22,ORL,32,32,4.72,6.99,5806440,7362565,9821662,0
Wes,Iwundu,Wes Iwundu,198,88,SF,25,ORL,45,18,2.68,2.60,1618520,0,0,0
Frank,Jackson,Frank Jackson,191,93,PG,22,NOP,51,1,2.41,1.33,1618520,0,0,0
Josh,Jackson,Josh Jackson,203,94,SF,23,MEM,18,0,3.73,3.05,7059480,0,0,0
Justin,Jackson,Justin Jackson,201,100,SF,25,DAL,58,2,3.18,2.15,3280920,5029650,7031451,0
Reggie,Jackson,Reggie Jackson,191,94,PG,30,DET,23,11,4.99,4.11,17799677,0,0,0
Jaren,Jackson Jr.,Jaren Jackson Jr.,211,110,PF,20,MEM,54,54,4.09,4.62,6927480,7257360,9180560,12109158
Justin,James,Justin James,201,86,SG,23,SAC,34,0,,0.57,898310,1517981,1782621,0
LeBron,James,LeBron James,206,113,SF,35,LAL,60,60,9.31,9.69,37436858,39219566,41002274,0
Amile,Jefferson,Amile Jefferson,206,100,PF,27,ORL,18,0,0.45,0.10,1529007,0,0,0
DaQuan,Jeffries,DaQuan Jeffries,196,104,SG,22,SAC,6,0,,0.14,898310,0,0,0
Ty,Jerome,Ty Jerome,196,88,PG,22,PHX,28,0,,1.21,2193480,2303040,2412840,4220057
Alize,Johnson,Alize Johnson,201,96,SF,24,IND,13,0,0.39,0.22,1416852,0,0,0
BJ,Johnson,BJ Johnson,201,91,SF,24,ORL,8,0,0.66,0.22,79568,0,0,0
Cameron,Johnson,Cameron Johnson,203,95,SF,24,PHX,49,1,,3.48,4033440,4235160,4437000,5887899
James,Johnson,James Johnson,201,109,SF,33,MIA,32,1,3.15,3.48,15349400,16047100,0,0
Keldon,Johnson,Keldon Johnson,196,100,SF,20,SAS,9,0,,1.50,1950600,2048040,2145720,3873024
Stanley,Johnson,Stanley Johnson,198,110,SF,24,TOR,20,0,2.53,0.30,3623000,3804150,0,0
Tyler,Johnson,Tyler Johnson,190,86,SG,28,PHX,31,3,4.40,1.83,19245370,0,0,0
Nikola,Jokic,Nikola Jokic,213,129,C,25,DEN,65,65,9.57,9.18,27504630,29542010,31579390,33616770
Damian,Jones,Damian Jones,211,111,C,24,ATL,55,27,1.95,2.19,2305057,3457585,0,0
Tyus,Jones,Tyus Jones,183,89,PG,24,MEM,65,6,4.56,3.32,9258000,8817143,8376286,0
